path	line_at_phase0	symbol
crates/integration-tests/src/bin/capacity_fixture.rs	127	UserRole
crates/integration-tests/src/db.rs	9	UserRole
crates/integration-tests/src/db.rs	249	UserRole
crates/integration-tests/tests/e2e_auth.rs	213	SystemAdmin
crates/integration-tests/tests/e2e_auth.rs	216	SystemAdmin
crates/integration-tests/tests/e2e_auth.rs	221	SystemAdmin
crates/integration-tests/tests/e2e_auth.rs	225	SystemAdmin
crates/integration-tests/tests/e2e_auth.rs	226	SystemAdmin
crates/integration-tests/tests/e2e_auth.rs	230	SystemAdmin
crates/integration-tests/tests/e2e_auth.rs	233	SystemAdmin
crates/integration-tests/tests/e2e_auth.rs	234	SystemAdmin
crates/integration-tests/tests/e2e_auth.rs	238	SystemAdmin
crates/integration-tests/tests/e2e_auth.rs	240	SystemAdmin
crates/integration-tests/tests/e2e_auth_token_version.rs	20	UserRole
crates/integration-tests/tests/e2e_auth_token_version.rs	49	UserRole
crates/integration-tests/tests/e2e_auth_token_version.rs	131	UserRole
crates/integration-tests/tests/e2e_auth_token_version.rs	185	UserRole
crates/integration-tests/tests/e2e_auth_token_version.rs	221	AssignableUserRole
crates/integration-tests/tests/e2e_auth_token_version.rs	234	AssignableUserRole
crates/integration-tests/tests/e2e_auth_token_version.rs	240	UserRole
crates/integration-tests/tests/e2e_auth_token_version.rs	269	UserRole
crates/integration-tests/tests/e2e_auth_token_version.rs	382	UserRole
crates/integration-tests/tests/e2e_auth_token_version.rs	499	UserRole
crates/integration-tests/tests/e2e_auth_token_version.rs	616	UserRole
crates/integration-tests/tests/e2e_auth_token_version.rs	735	UserRole
crates/integration-tests/tests/e2e_auth_token_version.rs	861	UserRole
crates/integration-tests/tests/e2e_auth_token_version.rs	1056	UserRole
crates/integration-tests/tests/e2e_console_permission_boundary.rs	21	UserRole
crates/integration-tests/tests/e2e_console_permission_boundary.rs	84	UserRole
crates/integration-tests/tests/e2e_console_permission_boundary.rs	99	is_admin(
crates/integration-tests/tests/e2e_db_balance.rs	2969	UserRole
crates/integration-tests/tests/e2e_db_balance.rs	2983	UserRole
crates/integration-tests/tests/e2e_db_concurrent.rs	7	UserRole
crates/integration-tests/tests/e2e_db_concurrent.rs	49	UserRole
crates/integration-tests/tests/e2e_db_payment_order.rs	12	AssignableUserRole
crates/integration-tests/tests/e2e_db_payment_order.rs	472	AssignableUserRole
crates/integration-tests/tests/e2e_db_router.rs	30	UserRole
crates/integration-tests/tests/e2e_db_router.rs	473	UserRole
crates/integration-tests/tests/e2e_db_router.rs	648	UserRole
crates/integration-tests/tests/e2e_db_tenant.rs	719	SystemAdmin
crates/integration-tests/tests/e2e_db_user.rs	11	AssignableUserRole
crates/integration-tests/tests/e2e_db_user.rs	100	AssignableUserRole
crates/integration-tests/tests/e2e_db_user.rs	359	SystemAdmin
crates/integration-tests/tests/e2e_db_user.rs	478	users.role
crates/integration-tests/tests/e2e_native_protocols.rs	30	UserRole
crates/integration-tests/tests/e2e_native_protocols.rs	202	UserRole
crates/integration-tests/tests/e2e_node_ingress.rs	32	UserRole
crates/integration-tests/tests/e2e_node_ingress.rs	172	UserRole
crates/integration-tests/tests/e2e_passthrough_binding.rs	24	UserRole
crates/integration-tests/tests/e2e_passthrough_binding.rs	243	UserRole
crates/integration-tests/tests/e2e_protocol_isolation.rs	27	UserRole
crates/integration-tests/tests/e2e_protocol_isolation.rs	119	UserRole
crates/integration-tests/tests/e2e_response_ownership.rs	23	UserRole
crates/integration-tests/tests/e2e_response_ownership.rs	189	UserRole
crates/integration-tests/tests/e2e_scoped_response_resources.rs	30	UserRole
crates/integration-tests/tests/e2e_scoped_response_resources.rs	205	UserRole
crates/integration-tests/tests/e2e_tips_withdrawals.rs	23	UserRole
crates/integration-tests/tests/e2e_tips_withdrawals.rs	94	UserRole
crates/integration-tests/tests/e2e_user_tenant.rs	337	SystemAdmin
crates/integration-tests/tests/e2e_user_tenant.rs	338	SystemAdmin
crates/integration-tests/tests/e2e_user_tenant.rs	340	SystemAdmin
crates/keycompute-auth/src/jwt.rs	488	SystemAdmin
crates/keycompute-auth/src/jwt.rs	493	SystemAdmin
crates/keycompute-auth/src/lib.rs	134	is_admin(
crates/keycompute-auth/src/lib.rs	135	SystemAdmin
crates/keycompute-auth/src/lib.rs	401	is_admin(
crates/keycompute-auth/src/lib.rs	414	is_admin(
crates/keycompute-auth/src/lib.rs	418	SystemAdmin
crates/keycompute-auth/src/lib.rs	430	is_admin(
crates/keycompute-auth/src/lib.rs	432	SystemAdmin
crates/keycompute-auth/src/password/register.rs	17	UserRole
crates/keycompute-auth/src/password/register.rs	504	UserRole
crates/keycompute-auth/src/permission.rs	52	SystemAdmin
crates/keycompute-auth/src/permission.rs	72	SystemAdmin
crates/keycompute-auth/src/permission.rs	92	SystemAdmin
crates/keycompute-auth/src/permission.rs	155	SystemAdmin
crates/keycompute-auth/src/permission.rs	211	SystemAdmin
crates/keycompute-auth/src/permission.rs	249	SystemAdmin
crates/keycompute-auth/src/permission.rs	324	SystemAdmin
crates/keycompute-auth/src/permission.rs	344	SystemAdmin
crates/keycompute-auth/src/permission.rs	353	SystemAdmin
crates/keycompute-billing/src/usage_log.rs	806	tenant_id: Option<
crates/keycompute-db/src/models/account.rs	110	tenant_id: Option<
crates/keycompute-db/src/models/passthrough_binding.rs	39	tenant_id: Option<
crates/keycompute-db/src/models/pricing_model.rs	93	tenant_id: Option<
crates/keycompute-db/src/models/tenant_audit_event.rs	12	tenant_id: Option<
crates/keycompute-db/src/models/tenant_audit_event.rs	28	tenant_id: Option<
crates/keycompute-db/src/models/user.rs	4	AssignableUserRole;UserRole
crates/keycompute-db/src/models/user.rs	32	UserRole
crates/keycompute-db/src/models/user.rs	38	AssignableUserRole
crates/keycompute-db/src/models/user.rs	39	tenant_id: Option<
crates/keycompute-db/src/models/user.rs	43	tenant_id: Option<
crates/keycompute-db/src/models/user.rs	49	tenant_id: Option<
crates/keycompute-db/src/models/user.rs	90	UserRole
crates/keycompute-db/src/models/user.rs	107	UserRole
crates/keycompute-db/src/models/user.rs	208	tenant_id: Option<
crates/keycompute-db/src/models/user.rs	234	tenant_id: Option<
crates/keycompute-db/src/models/user_balance.rs	101	tenant_id: Option<
crates/keycompute-distribution/src/records.rs	215	tenant_id: Option<
crates/keycompute-distribution/src/rule.rs	126	tenant_id: Option<
crates/keycompute-server/src/display_cache_tests.rs	186	SystemAdmin
crates/keycompute-server/src/extractors.rs	170	is_admin(
crates/keycompute-server/src/extractors.rs	171	SystemAdmin
crates/keycompute-server/src/extractors.rs	573	SystemAdmin
crates/keycompute-server/src/extractors.rs	574	is_admin(
crates/keycompute-server/src/extractors.rs	576	SystemAdmin
crates/keycompute-server/src/extractors.rs	577	SystemAdmin
crates/keycompute-server/src/extractors.rs	578	is_admin(
crates/keycompute-server/src/extractors.rs	596	is_admin(
crates/keycompute-server/src/extractors.rs	599	is_admin(
crates/keycompute-server/src/extractors.rs	613	is_admin(
crates/keycompute-server/src/extractors.rs	616	is_admin(
