existing_path	source_file	line_at_audit	resource_category	authority_contract	canonical_target
/api/v1/accounts	crates/keycompute-server/src/router.rs	483	platform_resource_or_explicit_tenant_target	console JWT; current root; explicit scoped management; no tenant-role inheritance	/api/v1/platform/accounts
/api/v1/accounts/{id}	crates/keycompute-server/src/router.rs	484	platform_resource_or_explicit_tenant_target	console JWT; current root; explicit scoped management; no tenant-role inheritance	/api/v1/platform/accounts/{id}
/api/v1/accounts/{id}/refresh	crates/keycompute-server/src/router.rs	489	platform_resource_or_explicit_tenant_target	console JWT; current root; explicit scoped management; no tenant-role inheritance	/api/v1/platform/accounts/{id}/refresh
/api/v1/accounts/{id}/test	crates/keycompute-server/src/router.rs	488	platform_resource_or_explicit_tenant_target	console JWT; current root; explicit scoped management; no tenant-role inheritance	/api/v1/platform/accounts/{id}/test
/api/v1/admin/model-catalog	crates/keycompute-server/src/router.rs	530	platform_resource_or_explicit_tenant_target	console JWT; current root; explicit scoped management; no tenant-role inheritance	/api/v1/platform/model-catalog
/api/v1/admin/monitoring/capacity	crates/keycompute-server/src/router.rs	605	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/monitoring/capacity
/api/v1/admin/monitoring/overview	crates/keycompute-server/src/router.rs	609	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/monitoring/overview
/api/v1/admin/monitoring/requests	crates/keycompute-server/src/router.rs	613	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/monitoring/requests
/api/v1/admin/monitoring/requests/{request_id}	crates/keycompute-server/src/router.rs	617	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/monitoring/requests/{request_id}
/api/v1/admin/monitoring/summary	crates/keycompute-server/src/router.rs	621	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/monitoring/summary
/api/v1/admin/monitoring/targets/health	crates/keycompute-server/src/router.rs	625	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/monitoring/targets/health
/api/v1/admin/monitoring/targets/probe	crates/keycompute-server/src/router.rs	629	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/monitoring/targets/probe
/api/v1/admin/node-gateway/nodes	crates/keycompute-server/src/router.rs	559	platform_resource_or_explicit_tenant_target	root console; explicit tenant selector and resource revision; no outer-middleware-only authorization	/api/v1/platform/node-gateway/nodes
/api/v1/admin/node-gateway/overview	crates/keycompute-server/src/router.rs	555	platform_resource_or_explicit_tenant_target	root console; explicit tenant selector and resource revision; no outer-middleware-only authorization	/api/v1/platform/node-gateway/overview
/api/v1/admin/node-gateway/tasks	crates/keycompute-server/src/router.rs	563	platform_resource_or_explicit_tenant_target	root console; explicit tenant selector and resource revision; no outer-middleware-only authorization	/api/v1/platform/node-gateway/tasks
/api/v1/admin/node-gateway/tokens/pending	crates/keycompute-server/src/router.rs	575	platform_resource_or_explicit_tenant_target	root console; explicit tenant selector and resource revision; no outer-middleware-only authorization	/api/v1/platform/node-gateway/tokens/pending
/api/v1/admin/node-gateway/tokens/{id}/approve	crates/keycompute-server/src/router.rs	579	platform_resource_or_explicit_tenant_target	root console; explicit tenant selector and resource revision; no outer-middleware-only authorization	/api/v1/platform/node-gateway/tokens/{id}/approve
/api/v1/admin/nodes/{id}	crates/keycompute-server/src/router.rs	573	platform_resource_or_explicit_tenant_target	root console; explicit tenant selector and resource revision; no outer-middleware-only authorization	/api/v1/platform/nodes/{id}
/api/v1/admin/nodes/{id}/exclude	crates/keycompute-server/src/router.rs	568	platform_resource_or_explicit_tenant_target	root console; explicit tenant selector and resource revision; no outer-middleware-only authorization	/api/v1/platform/nodes/{id}/exclude
/api/v1/admin/nodes/{id}/recover	crates/keycompute-server/src/router.rs	567	platform_resource_or_explicit_tenant_target	root console; explicit tenant selector and resource revision; no outer-middleware-only authorization	/api/v1/platform/nodes/{id}/recover
/api/v1/admin/nodes/{id}/revoke-token	crates/keycompute-server/src/router.rs	569	platform_resource_or_explicit_tenant_target	root console; explicit tenant selector and resource revision; no outer-middleware-only authorization	/api/v1/platform/nodes/{id}/revoke-token
/api/v1/admin/passthrough-bindings	crates/keycompute-server/src/router.rs	510	platform_resource_or_explicit_tenant_target	console JWT; current root; explicit scoped management; no tenant-role inheritance	/api/v1/platform/passthrough-bindings
/api/v1/admin/passthrough-bindings/options	crates/keycompute-server/src/router.rs	531	platform_resource_or_explicit_tenant_target	console JWT; current root; explicit scoped management; no tenant-role inheritance	/api/v1/platform/passthrough-bindings/options
/api/v1/admin/passthrough-bindings/{id}	crates/keycompute-server/src/router.rs	514	platform_resource_or_explicit_tenant_target	console JWT; current root; explicit scoped management; no tenant-role inheritance	/api/v1/platform/passthrough-bindings/{id}
/api/v1/admin/passthrough-bindings/{id}/probe	crates/keycompute-server/src/router.rs	520	platform_resource_or_explicit_tenant_target	console JWT; current root; explicit scoped management; no tenant-role inheritance	/api/v1/platform/passthrough-bindings/{id}/probe
/api/v1/admin/payments/orders	crates/keycompute-server/src/router.rs	722	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/payments/orders
/api/v1/admin/payments/providers	crates/keycompute-server/src/router.rs	714	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/payments/providers
/api/v1/admin/payments/providers/{method}/verify	crates/keycompute-server/src/router.rs	718	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/payments/providers/{method}/verify
/api/v1/admin/tips/settings/ratio	crates/keycompute-server/src/router.rs	598	platform_resource_or_explicit_tenant_target	outer root-only platform middleware; independent handler and transaction-audit consolidation remains open	/api/v1/platform/tips/settings/ratio
/api/v1/auth/forgot-password	crates/keycompute-server/src/router.rs	207	platform_resource	identity proof; no role grant from payload	unchanged
/api/v1/auth/login	crates/keycompute-server/src/router.rs	206	platform_resource	identity proof; no role grant from payload	unchanged
/api/v1/auth/refresh-token	crates/keycompute-server/src/router.rs	216	platform_resource	identity proof; no role grant from payload	unchanged
/api/v1/auth/register	crates/keycompute-server/src/router.rs	191	platform_resource	identity proof; no role grant from payload	unchanged
/api/v1/auth/register/complete	crates/keycompute-server/src/router.rs	192	platform_resource	identity proof; no role grant from payload	unchanged
/api/v1/auth/reset-password	crates/keycompute-server/src/router.rs	211	platform_resource	identity proof; no role grant from payload	unchanged
/api/v1/auth/verify-reset-token/{token}	crates/keycompute-server/src/router.rs	212	platform_resource	identity proof; no role grant from payload	unchanged
/api/v1/billing/records	crates/keycompute-server/src/router.rs	656	user_owned_resource	console; current tenant and self	/api/v1/me/billing/records
/api/v1/billing/stats	crates/keycompute-server/src/router.rs	657	user_owned_resource	console; current tenant and self	/api/v1/me/billing/stats
/api/v1/dashboard/overview	crates/keycompute-server/src/router.rs	394	user_owned_resource	console; current tenant and self	/api/v1/me/dashboard/overview
/api/v1/debug/accounts/{account_id}/cooldown	crates/keycompute-server/src/router.rs	665	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/debug/accounts/{account_id}/cooldown
/api/v1/debug/gateway/health	crates/keycompute-server/src/router.rs	671	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/debug/gateway/health
/api/v1/debug/gateway/stats	crates/keycompute-server/src/router.rs	670	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/debug/gateway/stats
/api/v1/debug/gateway/status	crates/keycompute-server/src/router.rs	669	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/debug/gateway/status
/api/v1/debug/providers	crates/keycompute-server/src/router.rs	663	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/debug/providers
/api/v1/debug/providers/reset	crates/keycompute-server/src/router.rs	664	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/debug/providers/reset
/api/v1/debug/routing	crates/keycompute-server/src/router.rs	662	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/debug/routing
/api/v1/distribution/records	crates/keycompute-server/src/router.rs	525	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/distribution/records
/api/v1/distribution/rules	crates/keycompute-server/src/router.rs	530	platform_resource_or_explicit_tenant_target	current scoped read; writes require JWT admin membership or root target, exact signed versions, revision and atomic audit	/api/v1/platform/distribution/rules
/api/v1/distribution/rules/{id}	crates/keycompute-server/src/router.rs	534	platform_resource_or_explicit_tenant_target	current scoped read; writes require JWT admin membership or root target, exact signed versions, revision and atomic audit	/api/v1/platform/distribution/rules/{id}
/api/v1/distribution/stats	crates/keycompute-server/src/router.rs	529	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/distribution/stats
/api/v1/keys	crates/keycompute-server/src/router.rs	385	user_owned_resource	console; current tenant and self	/api/v1/me/keys
/api/v1/keys/{id}	crates/keycompute-server/src/router.rs	386	user_owned_resource	console; current tenant and self	/api/v1/me/keys/{id}
/api/v1/me	crates/keycompute-server/src/router.rs	368	platform_resource	global console identity; self only	unchanged
/api/v1/me/distribution/earnings	crates/keycompute-server/src/router.rs	403	user_owned_resource	console; current tenant and self	unchanged
/api/v1/me/distribution/overview	crates/keycompute-server/src/router.rs	398	user_owned_resource	console; current tenant and self	unchanged
/api/v1/me/distribution/records	crates/keycompute-server/src/handlers/tenant_distribution.rs	362	user-owned resource	console; verified tenant and beneficiary self; active membership; feature enabled	/api/v1/me/distribution/records
/api/v1/me/distribution/records/{id}	crates/keycompute-server/src/handlers/tenant_distribution.rs	363	user-owned resource	console; verified tenant and beneficiary self; active membership; feature enabled	/api/v1/me/distribution/records/{id}
/api/v1/me/distribution/referrals	crates/keycompute-server/src/router.rs	407	user_owned_resource	console; current tenant and self	unchanged
/api/v1/me/distribution/stats	crates/keycompute-server/src/handlers/tenant_distribution.rs	364	user-owned resource	console; verified tenant and beneficiary self; active membership; feature enabled	/api/v1/me/distribution/stats
/api/v1/me/key-issuance	crates/keycompute-server/src/handlers/tenant_keys.rs	700	user_owned_resource	console JWT; fixed selected tenant and owner; one-time claim rechecks original requester/owner/signed versions	/api/v1/me/key-issuance
/api/v1/me/key-issuance/{id}/claim	crates/keycompute-server/src/handlers/tenant_keys.rs	701	user_owned_resource	console JWT; fixed selected tenant and owner; one-time claim rechecks original requester/owner/signed versions	/api/v1/me/key-issuance/{id}/claim
/api/v1/me/key-issuance/{id}/decline	crates/keycompute-server/src/handlers/tenant_keys.rs	705	user_owned_resource	console JWT; fixed selected tenant and owner; one-time claim rechecks original requester/owner/signed versions	/api/v1/me/key-issuance/{id}/decline
/api/v1/me/memberships	crates/keycompute-server/src/router.rs	375	platform_resource	global console identity; self only	unchanged
/api/v1/me/node-gateway/token	crates/keycompute-server/src/router.rs	419	user_owned_resource	console; current tenant and self	unchanged
/api/v1/me/node-gateway/token/{id}	crates/keycompute-server/src/router.rs	415	user_owned_resource	console; current tenant and self	unchanged
/api/v1/me/node-gateway/tokens	crates/keycompute-server/src/router.rs	423	user_owned_resource	console; current tenant and self	unchanged
/api/v1/me/node-registrations	crates/keycompute-server/src/handlers/tenant_nodes.rs	620	user_owned_resource	console; selected tenant and self only	unchanged
/api/v1/me/node-registrations/{id}	crates/keycompute-server/src/handlers/tenant_nodes.rs	621	user_owned_resource	console; selected tenant and self only	unchanged
/api/v1/me/nodes	crates/keycompute-server/src/handlers/tenant_nodes.rs	616	user_owned_resource	console; selected tenant and self only	unchanged
/api/v1/me/nodes/{id}	crates/keycompute-server/src/handlers/tenant_nodes.rs	617	user_owned_resource	console; selected tenant and self only	unchanged
/api/v1/me/password	crates/keycompute-server/src/router.rs	370	platform_resource	global console identity; self only	unchanged
/api/v1/me/profile	crates/keycompute-server/src/router.rs	369	platform_resource	global console identity; self only	unchanged
/api/v1/me/referral/code	crates/keycompute-server/src/router.rs	409	user_owned_resource	console; current tenant and self	unchanged
/api/v1/me/referral/invite-link	crates/keycompute-server/src/router.rs	410	user_owned_resource	console; current tenant and self	unchanged
/api/v1/me/tasks	crates/keycompute-server/src/handlers/tenant_nodes.rs	618	user_owned_resource	console; selected tenant and self only	unchanged
/api/v1/me/tasks/{id}	crates/keycompute-server/src/handlers/tenant_nodes.rs	619	user_owned_resource	console; selected tenant and self only	unchanged
/api/v1/me/tasks/{id}/archive	crates/keycompute-server/src/handlers/tenant_tasks.rs	127	user_owned_resource	console self; selected tenant and owner; current signed versions	unchanged
/api/v1/me/tasks/{id}/cancel	crates/keycompute-server/src/handlers/tenant_tasks.rs	126	user_owned_resource	console self; selected tenant and owner; current signed versions	unchanged
/api/v1/me/tenant	crates/keycompute-server/src/router.rs	371	platform_resource	global console identity; self only	unchanged
/api/v1/me/tips	crates/keycompute-server/src/router.rs	428	user_owned_resource	console; current tenant and self	unchanged
/api/v1/me/tips/history	crates/keycompute-server/src/router.rs	429	user_owned_resource	console; current tenant and self	unchanged
/api/v1/me/tips/withdraw	crates/keycompute-server/src/router.rs	430	user_owned_resource	console; current tenant and self	unchanged
/api/v1/me/tips/withdrawals	crates/keycompute-server/src/router.rs	431	user_owned_resource	console; current tenant and self	unchanged
