table	classification
users	platform_identity
tenants	tenant_control
tenant_memberships	tenant_control
tenant_invitations	tenant_control
tenant_audit_events	scoped_audit
produce_ai_keys	user_tenant_resource
accounts	tenant_resource
passthrough_bindings	tenant_resource
account_model_health	parent_scoped_child
responses_idempotency_claims	user_tenant_resource
response_affinities	user_tenant_resource
pricing_models	explicit_platform_or_tenant
pricing_audit_events	scoped_audit
usage_logs	user_tenant_resource
gateway_requests	user_tenant_resource
gateway_request_attempts	parent_scoped_child
distribution_records	user_tenant_resource
tenant_distribution_rules	tenant_resource
pending_registrations	platform_identity
user_credentials	platform_identity
password_resets	platform_identity
user_referrals	platform_identity
payment_orders	user_tenant_resource
payment_notifications	parent_scoped_child
payment_security_events	scoped_audit
payment_provider_states	platform_control
user_balances	user_tenant_resource
balance_reservations	user_tenant_resource
balance_reservation_events	parent_scoped_child
balance_transactions	user_tenant_resource
admin_balance_operations	user_tenant_resource
system_settings	platform_control
nodes	tenant_resource
node_sessions	tenant_resource
node_tasks	user_tenant_resource
node_task_submissions	parent_scoped_child
node_native_streams	parent_scoped_child
node_native_stream_events	parent_scoped_child
user_node_gateway_tokens	tenant_resource
node_tips	user_tenant_resource
node_tip_withdrawals	user_tenant_resource
scoped_conversations	user_tenant_resource
scoped_responses	user_tenant_resource
scoped_response_events	parent_scoped_child
